1  2  3  4  5  6
1  2  3  7  8  9
1 10 19 28 37 46
1 11 20 29 38 47
1 12 21 30 39 48
1 13 22 31 40 49
1 14 23 32 41 50
1 15 24 33 42 51
1 16 25 34 43 52
1 17 26 35 44 53
1 18 27 36 45 54
2 10 21 29 43 54
2 11 19 30 44 52
2 12 20 28 45 53
2 13 24 32 37 48
2 14 22 33 38 46
2 15 23 31 39 47
2 16 27 35 40 51
2 17 25 36 41 49
2 18 26 34 42 50
3 10 20 30 40 50
3 11 21 28 41 51
3 12 19 29 42 49
3 13 23 33 43 53
3 14 24 31 44 54
3 15 22 32 45 52
3 16 26 36 37 47
3 17 27 34 38 48
3 18 25 35 39 46
4  5  6  7  8  9
4 10 25 31 42 48
4 11 26 32 40 46
4 12 27 33 41 47
4 13 19 34 45 51
4 14 20 35 43 49
4 15 21 36 44 50
4 16 22 28 39 54
4 17 23 29 37 52
4 18 24 30 38 53
5 10 27 32 39 53
5 11 25 33 37 54
5 12 26 31 38 52
5 13 21 35 42 47
5 14 19 36 40 48
5 15 20 34 41 46
5 16 24 29 45 50
5 17 22 30 43 51
5 18 23 28 44 49
6 10 26 33 45 49
6 11 27 31 43 50
6 12 25 32 44 51
6 13 20 36 39 52
6 14 21 34 37 53
6 15 19 35 38 54
6 16 23 30 42 46
6 17 24 28 40 47
6 18 22 29 41 48
7 10 22 34 44 47
7 11 23 35 45 48
7 12 24 36 43 46
7 13 25 28 38 50
7 14 26 29 39 51
7 15 27 30 37 49
7 16 19 31 41 53
7 17 20 32 42 54
7 18 21 33 40 52
8 10 24 35 41 52
8 11 22 36 42 53
8 12 23 34 40 54
8 13 27 29 44 46
8 14 25 30 45 47
8 15 26 28 43 48
8 16 21 32 38 49
8 17 19 33 39 50
8 18 20 31 37 51
9 10 23 36 38 51
9 11 24 34 39 49
9 12 22 35 37 50
9 13 26 30 41 54
9 14 27 28 42 52
9 15 25 29 40 53
9 16 20 33 44 48
9 17 21 31 45 46
9 18 19 32 43 47
10 11 12 13 14 15
10 11 12 16 17 18
13 14 15 16 17 18
19 20 21 22 23 24
19 20 21 25 26 27
22 23 24 25 26 27
28 29 30 31 32 33
28 29 30 34 35 36
31 32 33 34 35 36
37 38 39 40 41 42
37 38 39 43 44 45
40 41 42 43 44 45
46 47 48 49 50 51
46 47 48 52 53 54
49 50 51 52 53 54
